Veranstalter,Thema,Ort,Datum,Uhrzeit der Versammlung,sheet_name
Christopher Street Day Erfurt,"""Christopher Street Day Erfurt 2022"" (CSD Erfurt 2022)",Willy-Brandt-Platz --> Bahnhofstraße -->  Anger --> Regierungsstraße --> Lange Brücke --> Kettenstraße -->  Domplatz --> Markstraße --> Fischmarkt --> Schlösserstraße --> Anger,2022-08-27 00:00:00,09.00 - 21.00 Uhr,2022
Internationalistisches Bündnis,"""Gegen die Weltkriegsgefahr! Auf zum 1. Mai""",Angerbrunnen,2022-05-01 00:00:00,09.30 - 10.00 Uhr,2022
Neue Stärke Partei,"""Wir lassen uns nicht kriminalisieren - Gemeinsam gegen Repressionen, Willkür und Medienhetze!""",Bahnhof Erfurt Nord (Auftaktkundgebung)--> Am Malzwerk --> Magdeburger Allee --> Magdeburger Allee Kreuzung Salinenstraße (Zwischenkundgebung) --> Magdeburger Allee--> Johannesstraße --> Juri-Gagarin-Ring --> Lachsgasse --> Anger (Alter Angerbrunnen),2022-05-01 00:00:00,10.00 - 12.00 Uhr,2022
Anonymus for theVoiceless,Abschaffung des Tierleides durch Veganismus,Angerdreieck,2022-05-28 00:00:00,15.00 - 18.00 Uhr,2022
Anonymus for the Voiceless,Abschaffung des Tierleides durch Veganismus,Angerdreieck,2022-05-14 00:00:00,15.00 - 18.00 Uhr,2022
Verein Ukrainischer Landsleute in Thüringen e.V.,Nein zum Krieg in der Ukraine!,Willy-Brandt-Platz,2022-05-07 00:00:00,15.00 - 16.00 Uhr,2022
Ahmadiyya Muslim Jamaat KdöR,Muslime für Frieden/ Stoppt den dritten Weltkrieg,Angerdreieck,2022-05-07 00:00:00,12.00 - 18.00 Uhr,2022
Urban FH BA6,Der mangelhafte Ausbau der Radinfrastruktur zwischen den beiden Campi der FH,Campus (Schlüterstraße 1) --> Stauffenbergallee --> Fritz-Büchner-Straße --> Liebknechtstraße --> Hamburger Straße --> Campus (Altonaer Straße 25),2022-05-17 00:00:00,11.00 - 12.30 Uhr,2022
Kindertagespflege Erfurt e.V.,"""Gut betreut in der Tagespflege""",Angerdreieck --> Schlösserstraße --> Junkersand --> Kürschnergasse --> Wenigemarkt --> Krämerbrücke --> Fischmarkt --> Domplatz,2022-05-11 00:00:00,09.30 - 11.15 Uhr,2022
"Fridays for Future Erfurt
ABGESAGT",Die Klimakrise als prägende Bedrohung unserer Zukunft muss fester Bestandteil unseres Bildungssystems werden.,Juri-Gagarin-Ring Höhe Krämpfertor zwei Fahrstreifen stadtauswärts,2022-05-20 00:00:00,21.00 - 23.00 Uhr,2022
next level e.V.,"Nachhaltige Bildung, Klimaschutz",Fischmarkt,2022-05-21 00:00:00,10.00 - 18.00 Uhr,2022
Chistival e.V.,Nächstenliebe Golbal,Aufzug vom Zughafen --> Domplatz,2022-05-28 00:00:00,15.30 - 18.00 Uhr,2022
Albert Schweitzer Stiftung für unsere Mitwelt,"Protest gegen Massentierhaltung und Karnismus, sowie für Mitgefühl mit allen leidensfähigen Lebewesen",Fischmarkt,2022-06-04 00:00:00,14.00 - 17.00 Uhr,2022
Critical Mass Erfurt,"""Wir behindern nicht den Verkehr - wir sind der Verkehr""",Aufzug von Willy-Brandt-Platz --> Fischmarkt,2022-05-27 00:00:00,18.30 - 20.15 Uhr,2022
Landesverband für Frauen mit Behinderung in Thüringen e.V.,Für Menschen mit Behinderung - für echte Inklusion ,"Staatskanzlei (45 min)
Aufzug: Regierungsstraße --> Anger --> Angerdreieck (Zwischenkundgebung ca. 30 Minuten) --> Schlösserstraße --> Fischmarkt (Zwischenkundgebung ca. 30 Minuten) --> Marktstraße --> Domplatz (Abschlusskundgebung ca. 45 Minuten)",2022-09-06 00:00:00,16.00 - 20.00 Uhr,2022
Fridays for Future Erfurt,Konzert zum Aktionstag Mobilitätswende,Angerdreieck,2022-06-19 00:00:00,14.30 - 18.00 Uhr,2022
Elternvertretung der Gemeinschaftsschule 7 (Kerspleben),"""anläßlich des Kindertages machen Kinder und Eltern auf Bildungschancen aufmerksam""",Fischmarkt,2022-06-01 00:00:00,15.30 - 16.30 Uhr,2022
VCD Erfurt,Weltfahrradtag - Fürs Klima auf Tour,Willy-Brandt-Platz --> Bahnhofstraße --> Anger --> Regierungsstraße --> Lange Brücke --> Marstallstraße --> Barfüßerstraße --> Schlösserstraße --> Fischmarkt --> Marktsraße --> Domplatz --> Andreasstraße --> Nordhäuser Straße --> Riethstraße --> Mittelhäuser Straße --> Magdeburer Allee --> Johannesstraße --> Am Hügel --> Augustinerstraße --> Michaelisstraße --> Benediktsplatz --> Fischmarkt --> Schlösserstraße --> Anger --> Bahnhofstraße --> Spielbergtor --> Schmidtstedter Knoten --> Stauffenbergallee --> Leipziger Platz --> Geschwister-Scholl-Straße --> Werner-Uhlworm-Straße --> Lagune,2022-06-03 00:00:00,18.30 - 20.00 Uhr,2022
Thüringer Bürgerallianz für sozial gerechte Kommunalabgaben,Härtefallfonds für Straßenausbaubeiträge jetzt!,"Jürgen-Fuchs-Straße 1, 99096 Erfurt
Thüringer Landtag",2022-05-24 00:00:00,17.00 - 18.00 Uhr,2022
Neue Stärke Partei,Familienfest,Parkplatz Weßdornweg / Am Wiesenhügel,2022-07-02 00:00:00,12.00 - 18.00 Uhr,2022
Fridays for Future Erfurt,Fahrraddemonstration zum Aktionstag Mobilitätswende,Willy-Brandt-Platz --> Kurt-Schuhmacher-Straße --> Trommsdorffstraße --> Stauffenbergallee ---> Kreuzung Stauffenbergallee/ Magdeburger Allee (Zwischenkundgebung) --> Johannesstraße --> Juri-Gagarin-Ring --> Krämpferstraße --> Meienbergstraße --> Rathausbrücke --> Benediktsplatz --> Fischmarkt,2022-06-19 00:00:00,13.00 - 14.30 Uhr,2022
AG-Protest,Stellenabbau = Bildungsklau! Uni Erfurt erhalten,Alfred-Weber-Platz,2022-06-08 00:00:00,13.00 - 16.00 Uhr,2022
Einzelperson,"Ein christliches Zeichen setzen und Mahnwache, Gebet, Andacht, Ansprachen, Liedgesang",Erfurt Marbach St-Christophorus-Straße,"13.06.2022
20.06.2022
27.06.2022",19.00 - 20.00 Uhr,2022
Fridys for Future Erfurt,Geplante Abstandsregelungen für Windkraftanlagen,"Jürgen-Fuchs-Straße 1, 99096 Erfurt
Thüringer Landtag",2022-06-10 00:00:00,14.00 - 16.00 Uhr,2022
Anonymus for the Voiceless,Abschaffung des Tierleides durch Veganismus,Angerdreieck,2022-06-18 00:00:00,15.00 - 18.00 Uhr,2022
Bund der Heimatvertriebenen e.V. Landesverband Thüringen,Gedenkveranstaltung für die Opfer von Flucht und Vertreibung,Hauptfriedhof,2022-06-22 00:00:00,10.00 - 10.45 Uhr,2022
Handiclapped-Kultur Barrierefrei e.V.,"""Inklusion rockt und rollt""",Petersberg --> Biereyestraße --> Hugo-Preuß-Platz --> Lauentor --> Cusanusstraße --> Bonemilchstraße --> Bonifaciusstraße --> Walkmühlstraße --> Dalbergsweg --> Karl-Marx-Platz --> Juri-Gagarin-Ring --> Krämpferstraße --> Johannesstraße --> Futterstraße --> Wenigemarkt --> Rathausbrücke -->  Rathausgasse --> Fischmarkt,2022-07-07 00:00:00,10.00 - 13.00 Uhr,2022
"AG-Protest, Studentenvertretung Uni Erfurt","Protest gegen die Finanzkürzung an der Uni, für Bildungsgerechtigkeit, für öffentliche Finanzierung",vor der Staatskanzlei,2022-06-23 00:00:00,16.00 - 17.30 Uhr,2022
Critical Mass Erfurt,Urbane und Umweltfreundliche Mobilität für Alle,Willy-Brandt-Platz --> Bahnhofstraße --> Anger --> Johannesstraße --> Franckestraße --> Stauufenbergallee --> Clara-Zetkin-Straße --> Am Schwemmbach --> Käthe-Kollwitz-Straße --> Werner-Seelenbinder-Straße --> Arnstädter Straße --> Schillerstraße --> Pförtchenstraße --> Straße des Friedens --> Heinrichstraße --> Binderslebener Landstraße --> Hugo-Preuss-Platz --> Rudolfstraße --> Hennig-Gode-Straße --> Bonemilchstraße --> Maximilian-Welsch-Straße --> Theaterplatz --> Mainzerhofstraße --> Domstraße --> Andreasstraße --> Moritzwallstraße --> Moritzstraße --> Michaelisstraße --> Benediktsplatz --> Fischmarkt,2022-06-24 00:00:00,18.30 - 20.30 Uhr,2022
Eisenbahn- und Verkehrsgewerkschaft EVG,Tag des Eisenbahners/ Verkehrspolitische Lage,Willy-Brandt-Platz,2022-09-16 00:00:00,10.00 - 17.00 Uhr,2022
Erfurter Bündnis für soziale Gerechtigkeit - gegen Rechtsextremismus ,"""Rente statt Rüstung""
""Hiroshima und Nagasaki mahnen""
""Weltfriedenstag und 18. Jahrestag des Bündnisses""
""Gleiche Löhne und Renten in Ost und West""
""Zur Reichsprognomnacht""",Angerdreieck,"07.07.2022
04.08.2022
01.09.2022
06.10.2022
10.11.2022",17.00 - 18.00 Uhr,2022
Neue Stärke Partei,KAMPFKULTUR - ALLE NACH MAINZ,Willy-Brandt-Platz,2022-06-25 00:00:00,14.00 - 15.00 Uhr,2022
Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz/ gegen Massentierhaltung,Rathausbrücke Erfurt,2022-07-02 00:00:00,14.00 - 17.00 Uhr,2022
Jesidische Gemeinschaft e.V. in Thüringen,Yesidischer Gedenktag,Willy-Brandt-Platz,2022-08-03 00:00:00,14.00 - 19.00 Uhr,2022
Wohnopia e.V.,Bezahlbares Wohnen für alle!,Platz bei der Talstraße 15 / 16,2022-07-31 00:00:00,10.00 - 19.00 Uhr,2022
Einzelperson,Botschaft der Bibel in Bezug auf unser Grundgesetz (Eine ermutigende Kundgebung zur Bewahrung und Förderung der christlichen Grundwerte),vor Anger 1,2022-07-07 00:00:00,11.00 - 18.00 Uhr,2022
Einzelperson,"Ein christliches Zeichen setzen und Mahnwache, Gebet, Andacht, Ansprachen, Liedgesang",Erfurt Marbach St-Christophorus-Straße,"04.07.2022, 11.07.2022. 18.07.2022, 25.07.2022",19.00 - 20.00 UHr,2022
Einzelperson,Zweizügigkeit der Bergkreisschule Alach,"Thüringenhalle Erfurt, Werner-Seelenbinder-Straße",2022-07-06 00:00:00,16.00 - 17.15 Uhr,2022
PETA Deutschland e.V.,(Tier-) Babys gehören nicht auf den Grill!,Anger 66 (vor Maus und Elefant) - Angerdreieck,2022-08-23 00:00:00,15.00 - 16.00 Uhr,2022
Abl Mitteldeutschland ABGESAGT !!,Gerechte Landverpachtung des Freistaats,Weimarische Straße 29b,2022-07-13 00:00:00,10.30 - 12.30 Uhr,2022
BI Protest gegen -W4,Abstand WKA`s Regelung,"Jürgen-Fuchs-Straße 1, 99096 Erfurt
Thüringer Landtag",2022-07-14 00:00:00,16.00 - 18.00 Uhr,2022
ABL Mitteldeutschland,Gerechte Landverpachtung des Freistaats,Beethovenstraße 3,2022-07-13 00:00:00,11.30 - 13-30 Uhr,2022
Enkl E.V.,RAD RAVE - Bahn frei für altenative Fortbewegungsmittel und Rollsportarten,Aufzug Stadtgebiet Erfurt,2022-07-30 00:00:00,14.30 - 16.30 Uhr,2022
Enkl E.V.,RAD RAVE - Bahn frei für altenative Fortbewegungsmittel und Rollsportarten,Aufzug Stadtgebiet Erfurt,2022-07-30 00:00:00,18.15 - 20.15 Uhr,2022
Thomas Mann Schule,Protest gegen Kürzungen im Rahmen der Schulförderrichtlinie ESF 2.1,Aufzug Stadtgebiet Erfurt + Werner-Seelenbinder-Straße,2022-07-14 00:00:00,09.00 - 11.00 Uhr,2022
Grüne Jugend Thüringen,Keine Profite mit unserer Gesundheit,Fischmarkt,2022-07-16 00:00:00,12.00 - 18.00 Uhr,2022
Students For Future Augsburg,Autofreie Innenstädte - Mobilitätswende jetzt!,Kreuzung Thälmannstraße / Trommsdorffstraße und Stauffenbergallee,2022-08-24 00:00:00,10.30 - 12.00 Uhr,2022
Parents for Future,Schulstraße,Eugen-Richter-Straße ,2022-09-21 00:00:00,07:15 - 08:00 Uhr,2022
Leuchturmard,"233 Jahre Freiheit, Gleichheit, Brüderlichkeit",Gothaer Straße 36,2022-07-14 00:00:00,12_00 - 18:00 Uhr,2022
DGB-Bildungswerk Thüringen e.V.,Erinnern heißt Handeln - im Gedenken an Ireneusz Szyderski,Erfurter Landstraße (ggü. der Hausnr. 48),2022-08-03 00:00:00,16.00 - 17.30 Uhr,2022
Anonymous for the Voiceless,Abschaffung des Tierleides durch Veganismus,Angerdreieck,2022-07-23 00:00:00,16.00 19.00 Uhr,2022
Frauenzentrum Brennessel e.V.,Internationaler Safe Abortion Day,Angerdreieck,2022-09-28 00:00:00,12.00 - 18.00 Uhr,2022
Bürgerinitiative Lebensraum Apfelstädt,"Aufmerksam machen auf das Austrocknen der Apfelstädt, aufgrund des Entzugs des Wassers der Apfelstädt durch Umleitung des Wassers durch die Westringkaskade zur Herstellung von Ökostrom","Straße der Nationen, Schaukraftwerk an der Geraaue",2022-08-02 00:00:00,16.00 - 17.00 Uhr,2022
Albert Schweitzer Stiftung für unsere Mitwelt,"Prostest gegen Massentierhaltung und Karnismus, sowie für Mitgefühl mit allen leidensfähigen Lebewesen",Rathausbrücke,2022-08-06 00:00:00,14.00 - 17.00 Uhr,2022
Critical Mass Erfurt,"Aufmerksamkeit schaffen, für Verbesserung der Radverkehsbedingungen in und um Erfurt",Stadtgebiet Erfurt,2022-07-29 00:00:00,18.30 - 20.00 Uhr,2022
Seebrücke Erfurt,Don`t forget Afghanistan,Angerdreieck,2022-08-15 00:00:00,15.30 - 18.30 Uhr,2022
DIE LINKE Thüringen,Weltkindertag,Willy-Brandt-Platz,2022-09-20 00:00:00,10.00 - 16.00 Uhr,2022
Initative Leuchtturm ARD,Mahnwache Aufforderung zum Dialog,"MDR Landesfunkhaus, Gothaer Straße 36",2022-07-28 00:00:00,16.00 - 17.00 Uhr,2022
Einzelperson,"Ein christliches Zeichen setzen und Mahnwache, Gebet, Andacht, Ansprachen, Liedgesang",Erfurt Marbach St-Christophorus-Straße,"01.08.2022
08.08.2022
15.08.2022
22.08.2022
29.08.2022",19.00 - 20.00 Uhr,2022
Verein Ukrainischer Landsleute in Thüringen e.V.,Frieden in der Ukraine zum Tag der Unabhängigkeit der Ukraine,Aufzug Domplatz --> Anger 1 (Abschlusskundgebung),2022-08-24 00:00:00,17.00 - 20.30 Uhr,2022
VCD,Klimamahnwache - für das Leben auf der Erde,Fischmarkt,"03.08.2022
10.08.2022
17.08.2022
24.08.2022
31.08.2022",,2022
Initiative Leuchtturm ARD,Mahnwache Aufforderung zum Dialog,"MDR Landesfunkhaus, Gothaer Straße 36","04.08.2022
11.08.2022
18.08.2022",16.00 - 17.00 Uhr,2022
ver.di Jugend Thüringen,Solidarisch ist man nicht alleine - gemeinsam durch die Krise!,Karlstraße 10b,12.08.2022,15.00 - 18.00 Uhr,2022
VCD / Spirit of football,TOURSTART THE BALL 22 - THÜRINGEN ETAPPE!,Aufzug vom Petersberg -- > Bischleben,2022-08-07 00:00:00,15.00 - 16.00 Uhr,2022
Deutsche Orchestervereinigung - DOV,Honorare freischaffender Musiker,"Regierungsstraße 73, TSK",2022-09-09 00:00:00,09.00 - 09.15 Uhr,2022
Volt Thüringen,Beats für Bubatz- für progressive Drogenpolitik,Anger Hirschgarten Lange Brücke Kettenstraße Domplatz Marktsstraße Fischmarkt Rathausbrücke Kürschnergasse Schlösserstraße Fischmarkt Marktsstraße Andreasstraße Nordhäuser Straße  Marie Elise Kayser-Straße ,2022-08-20 00:00:00,16:00 -18:30,2022
Landeskrankenhausgesellschaft Thüringen e.V.,Wirtschaftliche Sicherung der Krankenhäuser,Thüringer Landtag Jürgen Fuchs-Straße 1,2022-09-14 00:00:00,09:00-13:00,2022
Jugend im Exil,Die Verbrechen der Islamischen Republik im Iran,,2022-08-18 00:00:00,16:00-19:00,2022
Einzelperson,Kundgebung gegen die Aktion der Islamischen Republik Iran zur Hinrichtung politischer Gefangener,Anger,2022-08-20 00:00:00,18:00-19:00,2022
Neue Stärke Erfurt,Das Sustem ist die Krise - für eine autarke Volkswirtschaft,"Kranichfelder Straße Richtung Kaufland    Färberwaidweg / Ecke Wachholderweg, Drosselberg Marktsplatz",2022-08-20 00:00:00,14:00 -14:45 15:15-16:00 16:30 -17:15,2022
Fridays for Future Erfurt,Internationaler Klimastreik -People not Profit,Fischmarkt --> Schlösserstraße --> Anger --> Meienbergstraße --> Rathausbrücke --> Fischmarkt,2022-09-23 00:00:00,15:00 -17:30,2022
Anonymus for the voiceless,Abschaffung des Tierleides durch Veganismus,Angerdreieck,2022-08-19 00:00:00,17:00-20:00,2022
Thüringer Verband der Verfolgten des Naziregimes - Bund der Antifaschisten e.V.,Ehrung,Ehrenhain Opfer des Faschismus - Hauptfriedhof Erfurt,2022-09-11 00:00:00,10:00-11:30 Uhr,2022
Critical Mass Erfurt,"Aufmerksamkeit schaffen, für Verbesserung der Radverkehrsbedingungen in und um Erfurt","Willy-Brandt-Platz, Bahnhofstraße, Anger, Krämpfertor, Juri-Gagarin-Ring, Trommsdorfstraße, Stauffenbergallee Magdeburger Allee Ilversgehovener Platz, Mittelhäuser Straße Riethstraße, Nordhäuser Straße Bergstraße Blumenstraße Witterdaer Weg Heinrichstraße Binderslebener Knie Gothaer Platz Straße des Friedens Benaryplatz Alfred Hess-Straße Steigerstraße Schillerstraße Puschkinstraße Juri-Gagarin-Ring Dalbergsweg Waqlkmühlstraße Bonifaciusstraße Bonemilchstraße, Maximilian Welsch-Straße Lauentor Ende",2022-08-26 00:00:00,18:30-20:15,2022
Frohe Botschaft - Evangeliums-Christen Baptisten ,Wo sind die Wurzeln unserer christlichen Grundwerte,Fischmarkt,2022-08-24 00:00:00,11:00 -15:00 Uhr,2022
Einzelperson,Nein zu Krieg und Aufrüstung - Nein zur Nato!,Freifläche Berliner Platz zwischen ALDI / Stadtteiltreff Berolina,2022-09-01 00:00:00,16:30-20;00 Uhr,2022
Leuchtturmard,Mahnwache Aufforderung zum Dialog,"MDR Landesfunkhaus, Gothaer Straße 36",2022-08-25 00:00:00,16-17:00,2022
,,,"1.09.2022, 08.09.2022, 15.09.2022, 22.09.2022",,2022
Aktionskreis Frieden Erfurt e.V.,Werdet für den Frieden auf der Welt aktiv!,Anger,2022-09-01 00:00:00,16:00-18:00 Uhr,2022
Seebrücke Erfurt,Let`s act about A-Behörde,"Bürgermeister-WEagner-Straße 1, Juri-Gagarin-Ring, Bahnhofstraße , Anger, Schlösserstraße, Fischmarkt / Rathaus",2022-09-27 00:00:00,16:00 -19:00 Uhr,2022
Seebrücke Erfurt,Wir sind keine Akten,Haupteingang Thüringenhalle Werner Seelenbinder-Straße 2,2022-09-28 00:00:00,16:00 -18:30 Uhr,2022
"Gewerkschaft Erziehung und Wissenschaft Thüringen
",Gleiches Geld für gleiche Arbeit!,Juri-Gagarin-Ring 160,2022-09-02 00:00:00,11.00 - 12.00 Uhr,2022
CHANGING CITIES e.V.,Fahrraddemo für eine feministische Mobilitätswende,Fischmakrt vor dem Rathaus,2022-09-03 00:00:00,17.00 - 17.30 Uhr,2022
Deutscher Gewerkschaftsbund Hessen-Thüringen,Nicht mit uns! Wir frieren nicht für Profite,Aufzug: Willy-Brandt-Platz --> Innenstadt --> Domplatz,2022-09-11 00:00:00,13.00 - 19.00 Uhr,2022
AfD Thüringen,"Heißer Herbst / Für Meinungsfreiheit, für ein bezahlbares Leben in einem sicheren Deutschland",Aufzug: Domplatz --> Innenstadt --> Johann-Sebastian-Bach-Straße ,2022-09-21 00:00:00,18.00 - 21.00 Uhr,2022
Einzelperson,"Ein christliches Zeichen setzen und Mahnwache, Gebet, Andacht, Ansprachen, Liedgesang",Erfurt Marbach St-Christophorus-Straße,"05.09.2022
12.09.2022
19.09.2022
26.02.2022",19.00 - 20.00 Uhr,2022
offenes Wahlkreisbüro RedRoxx Erfurt ABGESAGT !!,Energietour der Bundestagsfraktion DIE LINKE,Angerdreieck,2022-09-19 00:00:00,12.00 - 16.00 Uhr,2022
Kidical Mass Erfurt,Kidical Mass - für ein kinder- und fahrradfreundliches Erfurt,Moritzstraße --> Schlüterstraße --> Magdeburger Allee (Richtung Norden bis Höhe Eislebener Straße) --> Magdeburger Allee (Richtung Süden) --> Johannesstraße --> Juri-Gagarin-Ring --> Krämpferstraße --> Meienbergstraße  --> Wenigemarkt --> Kürschnergasse --> Junkersand --> Barfüßerstraße --> Weitergasse --> Lachsgasse --> Juri-Gagarin-Ring --> Dalbergsweg --> Walkmühlstraße --> Bonifaciusstraße --> Bonemilchsttraße --> Maximilian-Welsch-Straße --> Lauentor --> Pergamentergasse --> Michaelisstraße --> Moritzstraße,2022-09-18 00:00:00,14.10 - 15.30 Uhr,2022
FKK - Freie Kulturkarawane ABGESAGT !!,Schutz und Förderung von Thüringens (Sozio-) Kulturräumen,Aufzug Nordhäuser Bahnhof --> Zughafen ,2022-10-02 00:00:00,12.00 - 18.00 Uhr,2022
Sozialverband VdK Hessen-Thüringen,"""Demo ohne Menschen"" - Aufbau ca. 75 Schilder mit Forderungen zur Verbesserungen in der Pflege",Im Bereich Thüringer Landtag,2022-11-10 00:00:00,08.00 - 18.00 Uhr,2022
Thüringer Landesverband Psychiatrie-Erfahrener e.V.,"Projektvorstellung ""Selbsthilfe mobil Thüringen"" durch die kooperierenden Organisationen","Jürgen-Fuchs-Straße 1, 99096 Erfurt
Thüringer Landtag",2022-09-22 00:00:00,14.00 - 18.00 Uhr,2022
Väteraufbruch für Kinder e.V.,Eltern-Kind-Entfremdung,Domplatz/ Marktstraße,2022-09-10 00:00:00,12.00 - 16.00 Uhr,2022
Deutscher Falun Dafa Verein e.V.,Falun Dafa und die Verfolgung in China,Fischmarkt,2022-09-24 00:00:00,10.00 - 17.00 Uhr,2022
IJM Deutschland e.V.,Moderne Sklaverei und Menschenhandel,Anger,2022-10-15 00:00:00,12.00 - 17.00 Uhr,2022
VCD,"Parkind Day ""12qm Kultur"" - Lebensraum statt Autoraum","Andreasstraße 32-37, 99084 Erfurt (beide Parkbuchten)",2022-09-16 00:00:00,15.00 - 18.00 Uhr,2022
Anonymus for the Voiceless,Abschaffung des Tierleides durch Veganismus,Angerdreieck,2022-09-17 00:00:00,16.00 - 19.00 Uhr,2022
Bündnis für soziale Gerechtigkeit und gegen Rechtsextremismus,Wir frieren nicht für eure Profite! Protest gegen die Regierung ist links!,Angerdreieck,2022-09-22 00:00:00,17.00 - 18.30 Uhr,2022
MLPD Thüringen,"""Für die Arbeitereinheit in Ost und West! Gemeinsam gegen die Abwälzung der Kriegs- und Krisenlasten auf unseren Rücken! Aktiv für Lohnnachschlag und gegen die akute Weltkriegsgefahr!""",Fischmarkt,2022-10-03 00:00:00,11.00 - 13.30 Uhr,2022
Auf-die-Plätze-Bündnis,Den Nazis die Hölle heiß machen - Gegen die soziale Kälte der AfD!,Schillerstraße/ Kaffeetrichter --> Arnstädter-Straße --> Arnstädter Straße Ecke Johann-Sebastian-Bach ,2022-09-21 00:00:00,17.30 - 21.00 Uhr,2022
RedRoXX - Linkes Wahlkreisbüro,Antifaschistischer Protest gegen neue und alte Nazis,Domplatz zwischen Obelisk un Domstufen,2022-09-28 00:00:00,17.00 - 22.00 Uhr,2022
RedRoXX - Linkes Wahlkreisbüro,Antifaschistischer Protest gegen neue und alte Nazis,Domplatz zwischen Obelisk un Domstufen,2022-10-05 00:00:00,17.00 - 22.00 Uhr,2022
RedRoXX - Linkes Wahlkreisbüro,Antifaschistischer Protest gegen neue und alte Nazis,Domplatz zwischen Obelisk un Domstufen,2022-10-12 00:00:00,17.00 - 22.00 Uhr,2022
RedRoXX - Linkes Wahlkreisbüro,Antifaschistischer Protest gegen neue und alte Nazis,Domplatz zwischen Obelisk un Domstufen,2022-10-19 00:00:00,17.00 - 22.00 Uhr,2022
RedRoXX - Linkes Wahlkreisbüro,Antifaschistischer Protest gegen neue und alte Nazis,Domplatz zwischen Obelisk un Domstufen,2022-10-26 00:00:00,17.00 - 22.00 Uhr,2022
"Persische Migranten in Erfurt
","""Frauenrechte im Iran (Mahsa Amini)""",Fischmarkt,2022-09-24 00:00:00,17.00 - 19.00 Uhr,2022
DIE LINKE Erfurt   ,"""Steigende Energiepreise ausbremsen""",Fischmarkt,2022-09-26 00:00:00,16.00 - 17.00 Uhr,2022
Critical Mass Erfurt,"""Aufmerksamkeit schaffen, für Verbesserung der Radverkehrsbedingungen in und um Erfurt""",Willy-Brandt-Platz --> Bahnhofstraße --> Schlösserstraße --> Marktstraße --> Domplatz --> Kettenstraße --> Paulstraße --> Meister-Eckehart-Straße --> Regierungsstraße --> Lutherstraße --> Juri-Gagarin-Ring --> Krämpferstraße --> Johannesstraße --> Augustinerstraße --> Am Hügel --> Juri-Gagarin-Ring --> Franckestraße --> Schalchthofstraße --> Liebknechtstraße --> Leipziger Platz --> Thälmannstraße --> Trommsdorffstraße --> Juri-Gagarin-Ring --> Dalbergsweg --> Walkmühlstraße --> Bonifaciusstraße --> Bonemilchstraße --> Maximilian-Welsch-Straße --> Lauentor --> Andreasstraße --> Große Ackerhofsgasse --> Moritzstraße --> Weiße Gasse --> Domplatz,2022-09-30 00:00:00,18.30 - 20.15 Uhr,2022
